import time: self [us] | cumulative | imported package
import time:       850 |       1561 |                 urllib.error
import time:      1923 |       3483 |               urllib.request
import time:      1481 |       1481 |               calendar
import time:      3017 |       7979 |             http.cookiejar
import time:      1572 |       1572 |             http.cookies
import time:      1408 |      70380 |           requests.compat
import time:      1060 |      71439 |         requests.exceptions
import time:       296 |        296 |         chardet
import time:      1125 |       1125 |               idna.idnadata
import time:       748 |        748 |               idna.intranges
import time:      1642 |       3514 |             idna.core
import time:       838 |        838 |             idna.package_data
import time:       769 |       5120 |           idna
import time:       886 |       6006 |         requests.packages
import time:      1070 |       1070 |                     importlib.resources.abc
import time:       741 |       1810 |                   importlib.resources._common
import time:       804 |        804 |                   importlib.resources._functional
import time:       672 |       3285 |                 importlib.resources
import time:       849 |       4134 |               certifi.core
import time:       708 |       4841 |             certifi
import time:       498 |       5339 |           requests.certs
import time:       850 |        850 |           requests.__version__
import time:      1193 |       1193 |           requests._internal_utils
import time:      1316 |       1316 |           requests.cookies
import time:       972 |        972 |           requests.structures
import time:       776 |        776 |           importlib.resources._adapters
import time:       554 |        554 |               importlib.resources._itertools
import time:       930 |       1484 |             importlib.resources.readers
import time:       669 |       2153 |           importlib.readers
import time:      1350 |      13945 |         requests.utils
import time:       714 |        714 |               requests.auth
import time:      1184 |       1184 |                   stringprep
import time:       998 |       2182 |                 encodings.idna
import time:       745 |        745 |                 requests.hooks
import time:      1068 |       1068 |                 requests.status_codes
import time:      1128 |       5121 |               requests.models
import time:       596 |        596 |                 urllib3.contrib
import time:       242 |        242 |                 socks
import time:       685 |       1523 |               urllib3.contrib.socks
import time:      1097 |       8454 |             requests.adapters
import time:       958 |       9412 |           requests.sessions
import time:       605 |      10017 |         requests.api
import time:      1087 |     167975 |       requests
import time:       614 |        614 |               mcp.client
import time:      1793 |       1793 |                         typing_extensions
import time:       765 |        765 |                         pydantic_core._pydantic_core
import time:       945 |        945 |                               numbers
import time:      1142 |       2086 |                             _decimal
import time:       573 |       2659 |                           decimal
import time:     10843 |      13501 |                         pydantic_core.core_schema
import time:       955 |      17012 |                       pydantic_core
import time:       508 |      17520 |                     pydantic.version
import time:       633 |      18152 |                   pydantic.warnings
import time:       625 |      18777 |                 pydantic._migration
import time:       699 |        699 |                     typing_inspection
import time:      3437 |       3437 |                     typing_inspection.typing_objects
import time:      1563 |       5698 |                   typing_inspection.introspection
import time:       795 |        795 |                   pydantic._internal
import time:       778 |        778 |                       pydantic._internal._namespace_utils
import time:       875 |       1652 |                     pydantic._internal._typing_extra
import time:       867 |       2519 |                   pydantic._internal._repr
import time:       977 |       9988 |                 pydantic.errors
import time:       816 |      29580 |               pydantic
import time:       440 |        440 |                 pydantic.annotated_handlers
import time:       588 |       1028 |               pydantic._internal._schema_generation_shared
import time:       438 |        438 |                     pydantic._internal._internal_dataclass
import time:      5296 |       5733 |                   pydantic.aliases
import time:      2090 |       2090 |                   pydantic.config
import time:       748 |       8570 |                 pydantic._internal._config
import time:      1108 |       1108 |                 pydantic._internal._core_metadata
import time:       861 |        861 |                 pydantic._internal._core_utils
import time:       465 |        465 |                     pydantic._internal._import_utils
import time:      1487 |       1951 |                   pydantic._internal._utils
import time:      4610 |       6561 |                 pydantic._internal._decorators
import time:      1038 |       1038 |                     pydantic.plugin
import time:       856 |       1893 |                   pydantic.plugin._schema_validator
import time:       991 |       2884 |                 pydantic._internal._mock_val_ser
import time:      2993 |      22974 |               pydantic.json_schema
import time:       907 |        907 |                       pydantic._internal._forward_ref
import time:       989 |       1895 |                     pydantic._internal._generics
import time:       677 |        677 |                     pydantic._internal._docs_extraction
import time:       801 |       3372 |                   pydantic._internal._fields
import time:      2603 |       2603 |                       fractions
import time:       914 |        914 |                         _uuid
import time:      1002 |       1916 |                       uuid
import time:      1482 |       1482 |                           sysconfig
import time:       104 |        104 |                           _sysconfig
import time:      1543 |       3127 |                         zoneinfo._tzpath
import time:       905 |        905 |                         zoneinfo._common
import time:       738 |        738 |                         _zoneinfo
import time:       762 |       5532 |                       zoneinfo
import time:      4549 |       4549 |                       pydantic.functional_validators
import time:      1113 |       1113 |                       pydantic._internal._discriminated_union
import time:       912 |        912 |                       pydantic._internal._known_annotated_metadata
import time:      1452 |       1452 |                       pydantic._internal._schema_gather
import time:      2061 |      20134 |                     pydantic._internal._generate_schema
import time:       909 |        909 |                     pydantic._internal._signature
import time:      1031 |      22073 |                   pydantic._internal._model_construction
import time:      1461 |      26906 |                 pydantic.main
import time:       965 |      27870 |               pydantic.type_adapter
import time:      9052 |       9052 |                 annotated_types
import time:      1015 |       1015 |                 pydantic._internal._validators
import time:      7740 |       7740 |                 pydantic.types
import time:       851 |        851 |                 pydantic.plugin._loader
import time:    122820 |     141476 |               mcp.types
import time:       593 |        593 |                         mcp.shared
import time:       791 |       1384 |                       mcp.shared.experimental
import time:      1105 |       2489 |                     mcp.shared.experimental.tasks
import time:       948 |        948 |                       mcp.shared.exceptions
import time:       974 |        974 |                         mcp.shared.experimental.tasks.store
import time:       909 |       1883 |                       mcp.shared.experimental.tasks.context
import time:       840 |       3670 |                     mcp.shared.experimental.tasks.helpers
import time:       956 |       7114 |                   mcp.shared.experimental.tasks.polling
import time:      1052 |       8166 |                 mcp.client.experimental.tasks
import time:      1158 |       9323 |               mcp.client.experimental
import time:      2041 |       2041 |                   mcp.shared.message
import time:       990 |        990 |                       httpx.__version__
import time:      1152 |       1152 |                             httpx._exceptions
import time:      1301 |       1301 |                                   httpx._types
import time:       839 |        839 |                                   httpx._utils
import time:      1227 |       3366 |                                 httpx._multipart
import time:       803 |       4168 |                               httpx._content
import time:       273 |        273 |                                 brotli
import time:       201 |        201 |                                 brotlicffi
import time:       203 |        203 |                                 zstandard
import time:       969 |       1645 |                               httpx._decoders
import time:      1924 |       1924 |                               httpx._status_codes
import time:      2599 |       2599 |                                 httpx._urlparse
